# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false        pwd            20   thrpt    10          36.000 ±         92.626        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false        pwd            20   thrpt    10       33075.500 ±     157472.250        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false        pwd            20   thrpt    10       32302.100 ±     132138.692        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false        pwd            20   thrpt    10      129982.000 ±     553477.589        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false        pwd            20   thrpt    10       86249.700 ±     129112.722        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false        pwd            20   thrpt    10      112137.000 ±     276558.533        ?

Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false        pwd            20   thrpt    10      104857.600 ±     334210.013        ?

Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false        pwd            20   thrpt    10       18436.800 ±    1174122.896        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false        pwd            20   thrpt    10           0.200 ±         10.348        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false        pwd            20   thrpt    10          59.300 ±        152.830        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false        pwd            20   thrpt    10           3.700 ±          8.494        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false        pwd            20   thrpt    10          22.400 ±         55.518        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false        pwd            20   thrpt    10         345.000 ±        916.718        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false        pwd            20   thrpt    10          55.000 ±          1.594  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false        pwd            20   thrpt    10          54.000 ±          1.594  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false        pwd            20   thrpt    10          56.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date             5   thrpt    10           0.561 ±          0.030   ops/ms
